importer name,importer country (2 letter code),total # of shipments,total Kg,Total amount,# shipments from South Africa,Total tons from South Africa,Description
AFT TRADE BV,CN,1,500660.0,0,0.0,0.0,"GLOBAL MINERALS DIS TICARET ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 500.66 tons"
ALECAIA AG,CN,4,6664210.0,0,0.0,0.0,"ORHUN METAL MADENCILIK INSAAT SANAYI VE TICARET ANONIM SIRKETI (TR), Shipments: 2, Tonnage: 4911.00 tons
LUMARK MADENCILIK VE TICARET ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 1001.12 tons
DELTA STAR ENERJI VE MADENCILIK SANAYI VE TICARET ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 752.09 tons"
ALECAİA AG,CN,2,1970600.0,0,0.0,0.0,"ORHUN METAL MADENCILIK INSAAT SANAYI VE TICARET ANONIM SIRKETI (TR), Shipments: 2, Tonnage: 1970.60 tons"
AMCOL (TIANJIN) INDUSTRIAL MINERALS,CN,43,1165800.0,0,43.0,1165.8,"GLENCORE OPERATIONS SOUTH AFRICA (PT (ZA), Shipments: 34, Tonnage: 921.82 tons
GLENCORE INTERNATIONAL AG (ZA), Shipments: 9, Tonnage: 243.98 tons"
AMCOL (TIANJIN) INDUSTRIAL MINERALS CO LTD SUZHOU BRANCH,CN,30,879420.0,0,30.0,879.42,"VOLCLAY TRADING (PTY) LTD (ZA), Shipments: 30, Tonnage: 879.42 tons"
AMCOL KOREA LTD,KR,147,3997670.0,0,147.0,3997.67,"GLENCORE INTERNATIONAL AG (ZA), Shipments: 90, Tonnage: 2380.00 tons
VOLCLAY TRADING (PTY) LTD (ZA), Shipments: 33, Tonnage: 966.99 tons
GLENCORE OPERATIONS SOUTH AFRICA (PT (ZA), Shipments: 24, Tonnage: 650.68 tons"
ANHUI TECHNOLOGY GROUP,CN,1315,35507584.0,0,0.0,0.0,"KINAY TAS VE LOJ AS (TR), Shipments: 1157, Tonnage: 32161.29 tons
ARKAS LOJISTIK ANONIM SIRKETI (TR), Shipments: 77, Tonnage: 2141.58 tons
MINTECH RESOURCES (PK), Shipments: 38, Tonnage: 1148.23 tons
M/S ASIAN MINES&MINERALS (PK), Shipments: 27, Tonnage: 40.60 tons
INDUS MINERAL (PK), Shipments: 10, Tonnage: 9.97 tons"
ASIA NAVIGATION CORPORATION LTD,CN,1,28330.0,0,1.0,28.33,"ALPHA SHIPPING PTY LTD (ZA), Shipments: 1, Tonnage: 28.33 tons"
ASIA PACIFIC GLASS CO LTD,TH,5,141150.0,0,5.0,141.15,"PRINCE MINERALS SA (PTY) LTD (ZA), Shipments: 5, Tonnage: 141.15 tons"
ASIA STEEL&METALS LTD SHANGHAI,CN,55,1603440.0,0,55.0,1603.44,"ASIA STEEL&METALS LTD (ZA), Shipments: 55, Tonnage: 1603.44 tons"
BAOSTEEL RESOURCES INTERNATIONAL,CN,317,8734606.0,0,293.0,8708.25,"BAOSTEEL RESOURCES SOUTH AFRICA (ZA), Shipments: 182, Tonnage: 5410.86 tons
BAOSTEEL RESOURCES SOUTH AFRICA (PTY) LTD (ZA), Shipments: 111, Tonnage: 3297.39 tons
M/S ASIAN MINES&MINERALS (PK), Shipments: 12, Tonnage: 16.67 tons
INDUS MINERAL (PK), Shipments: 7, Tonnage: 7.16 tons
AL HAMZA EXPORTS (PK), Shipments: 5, Tonnage: 2.52 tons"
BARALOGAM MULTIJAYA,ID,1,0.0,0,0.0,0.0,"HENAN SICHENG ABRASIVES TECH CO LTD (CN), Shipments: 1, Tonnage: 0.00 tons"
BARE SYNDICATE FZCO,CN,4,3780.0,0,0.0,0.0,"UNIVERSAL MINERALS TRADING COMPANY (PK), Shipments: 4, Tonnage: 3.78 tons"
BEIJING DAXINGXINGYE ENGINEERING MACHINERY EQUIPMENT CO LTD,CN,2,992.0,0,0.0,0.0,"SELEARN ENGINEERING MACHINERY (PRIVATE) LTD (PK), Shipments: 2, Tonnage: 0.99 tons"
BEIJING JIUDA HANTANG TRADING,CN,147,6882889.02,0,0.0,0.0,"GLOBAL CHROMITE MINING LLC (OM), Shipments: 140, Tonnage: 3889.80 tons
JADARO MINERAL TRADING (PH), Shipments: 1, Tonnage: 2086.00 tons
PEMLINE EXPORT TRADING COMPANY (PH), Shipments: 3, Tonnage: 606.59 tons
OPHIR MINERAL VENTURES INC (PH), Shipments: 2, Tonnage: 300.00 tons
MAXI ENGINEERING (PRIVATE) LTD (PK), Shipments: 1, Tonnage: 0.50 tons"
BEIJING LY METALS&MINING CO LTD,CN,91,2622630.0,0,56.0,1669.58,"CAPTURE METAL PTE LTD (ZA), Shipments: 56, Tonnage: 1669.58 tons
MULTI METALS HARBOUR PTE LTD (AL), Shipments: 35, Tonnage: 953.05 tons"
BH MINERAL CO LTD,CN,1,188.35,0,0.0,0.0,"UNITED ENTERPRISES (PK), Shipments: 1, Tonnage: 0.19 tons"
BH MINERALS CO,CN,2,1100.0,0,0.0,0.0,"M/S ASIAN MINES&MINERALS (PK), Shipments: 2, Tonnage: 1.10 tons"
BH MINERALS CO LTD,CN,10,1822.24,0,0.0,0.0,"UNITED ENTERPRISES (PK), Shipments: 7, Tonnage: 1.14 tons
USSA ENTERPRISES (PK), Shipments: 2, Tonnage: 0.39 tons
MARVEL ENTERPRISE (PK), Shipments: 1, Tonnage: 0.29 tons"
BOZHOU YOUSHANTANG BIOTECHNOLOGY,CN,1,28720.0,0,0.0,0.0,"AMIGOS INTERNATIONAL COMMERCE (CM), Shipments: 1, Tonnage: 28.72 tons"
BS METAL CO LTD,KR,15,315925.0,0,15.0,315.925,"RAND YORK MINERALS (ZA), Shipments: 15, Tonnage: 315.93 tons"
C AND D (HAINAN) CO. LTD,CN,17,488410.0,0,0.0,0.0,"DEVENDRA TRADING (L.L.C)  (AL), Shipments: 17, Tonnage: 488.41 tons"
C STEINWEG BRIDGE (PTY) LTD,CN,36,1069020.0,0,36.0,1069.02,"SAMBHIC RESOURCES FZC (ZA), Shipments: 36, Tonnage: 1069.02 tons"
C&D (CHENGDU) CO LTD,CN,374,10644340.0,0,37.0,1098.36,"OAKTRON FZE (AL), Shipments: 144, Tonnage: 4161.12 tons
ARKAS LOJISTIK ANONIM SIRKETI (TR), Shipments: 122, Tonnage: 3406.47 tons
KINAY TAS VE LOJ AS (TR), Shipments: 71, Tonnage: 1978.39 tons
GLOBUSSTAR TRADING CO LLC (ZA), Shipments: 37, Tonnage: 1098.36 tons"
C&D (CHONGQING) CO LTD,CN,6,4916.0,0,0.0,0.0,"M/S ASIAN MINES&MINERALS (PK), Shipments: 3, Tonnage: 2.58 tons
DELTA RESOURCES (PK), Shipments: 3, Tonnage: 2.34 tons"
C&D (HAINAN) CO LTD,CN,630,19513157.33,0,244.0,7143.095,"ZULU METAL TRADE (PTY) LTD (ZA), Shipments: 164, Tonnage: 4864.69 tons
SARA INTERNATIONAL HK (AL), Shipments: 144, Tonnage: 4065.12 tons
ZONGFAN INTERNATIONAL TRADING (MZ), Shipments: 96, Tonnage: 2726.83 tons
ARKAS LOJISTIK ANONIM SIRKETI. (TR), Shipments: 88, Tonnage: 2431.87 tons
MHS DIS TICARET ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 1490.90 tons"
C&D (WUHAN) CO,CN,2,2200.0,0,0.0,0.0,"M/S ASIAN MINES&MINERALS (PK), Shipments: 2, Tonnage: 2.20 tons"
CHANGSHA GUOYU INTERNATIONAL TRADE CO LTD,CN,43,1092336.0,0,0.0,0.0,"WHALE THINK INTERNATIONAL LTD (MZ), Shipments: 40, Tonnage: 1089.20 tons
GHOURI MINNING ENTERPRISE (PK), Shipments: 3, Tonnage: 3.14 tons"
CHENGDU KEERUN INVESTMENT CO LTD,CN,263,7155837.0,0,0.0,0.0,"ARKAS LOJISTIK ANONIM SIRKETI (TR), Shipments: 144, Tonnage: 4003.09 tons
KINAY TAS VE LOJ AS (TR), Shipments: 113, Tonnage: 3142.14 tons
GHOURI MINNING ENTERPRISE (PK), Shipments: 2, Tonnage: 4.37 tons
M/S ASIAN MINES&MINERALS (PK), Shipments: 1, Tonnage: 3.28 tons
INDUS MINERAL (PK), Shipments: 3, Tonnage: 2.97 tons"
